sl_no,project_name,agency,project_code,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,cost_overrun,cost_overrun_percent,expenditure_percent,progress_gap,original_duration_months,revised_duration_months,time_overrun_months
577,Gadag - Wadi 252 km,CAOC/SWR SWR mor,705490,2013-04,2017-08,2027-03,2027-12,2842.0,3668.17,2252.04,35.0,83,July 2026,FlashReport_July_2026.pdf,1.0,29.07,61.39,26.39,167.0,176.0,9.0
612,Tirupati-Pakala-Katpadi Doubling 104.39 Km Item83/NR/2024-25,CAO/C/SCoR SCoR mor,617210,2025-04,2025-04,2029-04,,1215.56,1215.56,0.0,0.0,84,July 2026,FlashReport_July_2026.pdf,0.0,0.0,0.0,0.0,48.0,,
614,Doubling between Motumari Vishnupuram 88.81 km and Rail over Rail RoR at Motumari 10.877 Km,CAO/C/SCoR SCoR mor,616857,2024-02,2025-07,2029-03,,1595.55,1595.55,327.62,22.0,84,July 2026,FlashReport_July_2026.pdf,0.0,0.0,20.53,-1.47,61.0,,
617,Murkongselek-Pasighat 26.15 km,CAO/C-II/NFR NFR mor,705401,2011-02,2023-05,2025-03,2026-12,435.0,1334.45,1057.21,67.0,85,July 2026,FlashReport_July_2026.pdf,1.0,206.77,79.22,12.22,169.0,190.0,21.0
618,Teteliya-Byrnihat 21.5 km,CAO/C-II/NFR NFR mor,705394,2006-11,2011-04,2011-11,2027-06,1304.62,1432.14,1272.35,87.0,85,July 2026,FlashReport_July_2026.pdf,1.0,9.77,88.84,1.84,60.0,247.0,187.0
619,Dimapur-Kohima 88 km,CAO/C-1/NFR NFR mor,705392,2006-11,2015-12,2025-03,2029-12,6663.0,15310.23,6719.53,45.0,85,July 2026,FlashReport_July_2026.pdf,1.0,129.78,43.89,-1.11,220.0,277.0,57.0
622,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm PB34/ECOR/2023-24,CAO/Con/South/MHX ECR mor,616699,2023-08,2025-09,2028-03,,12333.57,12333.57,1152.79,3.0,85,July 2026,FlashReport_July_2026.pdf,0.0,0.0,9.35,6.35,55.0,,
629,4th line - Bhatapara-Hathband 8.8 km PB72/NR/2022-23,CAOC/SECR SECR mor,709815,2022-09,2023-03,2027-01,2027-12,177.03,177.03,21.08,3.0,85,July 2026,FlashReport_July_2026.pdf,0.0,0.0,11.91,8.91,52.0,63.0,11.0
714,"Rehabilitation and up-gradation and completion of balance works of the section from Km 107.760 km to 129.445 km After Middle strait to Humphrey, Km 130.600 to 138.300 After Humphrey to Kadamtala of NH-4 Intermediate/2-Lane with hard shoulder in the Union Territory of Andaman & Nicobar Islands on EPC basis Package- IIIA",NHIDCL,619184,2018-02,2024-03,2025-09,2026-12,207.45,376.48,0.0,81.95,89,July 2026,FlashReport_July_2026.pdf,1.0,81.48,0.0,-81.95,91.0,106.0,15.0
740,Bangalore Chennai Expressway Phase-II Pkg-II from km.96.000 to Km 127.000 Baireddypalle to Bangarupalem section,NHAI,618475,2021-02,2023-06,2025-06,2026-10,2548.04,2548.04,1332.41,94.24,91,July 2026,FlashReport_July_2026.pdf,0.0,0.0,52.29,-41.95,52.0,68.0,16.0
749,Renigunta - Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,NHAI,618700,2020-03,2022-01,2024-01,2026-09,1863.09,2510.14,1677.19,98.6,91,July 2026,FlashReport_July_2026.pdf,1.0,34.73,66.82,-31.78,46.0,78.0,32.0
825,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH- 37 Old from Km 490.800 to Km 534.800, under SARDP- NE on EPC Mode in the state of Assam Pkg- IV Structures & Toll Plaza",NHIDCL,618440,2016-01,2024-10,2025-10,2026-10,187.09,100.22,16.71,58.19,96,July 2026,FlashReport_July_2026.pdf,0.0,-46.43,16.67,-41.52,117.0,129.0,12.0
841,Construction of Bhabhua Bypass from Ch. 10800Design Ch. 10800 to Ch. 19860 Design Ch. 18150 and Chand Bypass from Ch. 38060 Design Ch. 36250 to Ch. 40460 Design Ch. 38650 and widening of existing road to 2 - lane with Paved shoulder from Ch. 40460 Design Ch. 38650 to Ch. 46860 Design Ch. 45050 of NH-219 Total length- 16.150 Kmunder EPC mode in the state of Bihar,MoRTH,618004,2022-02,2026-06,2027-12,2027-12,179.86,179.86,2.37,2.0,97,July 2026,FlashReport_July_2026.pdf,0.0,0.0,1.32,-0.68,70.0,70.0,0.0
911,Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km 19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra and Nagar Haveli and Daman and Diu,MoRTH,619183,2022-10,2024-02,2026-06,2026-08,198.06,239.57,77.74,80.0,101,July 2026,FlashReport_July_2026.pdf,1.0,20.96,32.45,-47.55,44.0,46.0,2.0
915,4-Laning from End of Zuari approaches to Start of Margao Bypass section of NH-66 from Km 536.800 to Km 543.450,MoRTH,617941,2024-07,2026-02,2028-02,2028-02,398.25,398.25,0.28,1.0,101,July 2026,FlashReport_July_2026.pdf,0.0,0.0,0.07,-0.93,43.0,43.0,0.0
938,4L of Dhrol bypass section of NH-151A Approx. length 5.7 Km & widening upto 4 laning of missing link of Amran section of NH-151A Approx. length 6.55 Km from existing Ch. 42000 to 48500 of ongoing Dhrol-Bhadra-Pipaliya section of NH-151A,NHAI,618616,2024-03,2025-02,2027-02,2027-02,625.58,455.54,151.99,35.47,103,July 2026,FlashReport_July_2026.pdf,0.0,-27.18,33.36,-2.11,35.0,35.0,0.0
980,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,NHAI,619003,2018-03,2018-11,2021-05,2026-11,881.74,1519.53,1347.79,90.11,105,July 2026,FlashReport_July_2026.pdf,1.0,72.33,88.7,-1.41,38.0,104.0,66.0
1010,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",NHAI,618544,2021-07,2022-02,2024-06,2026-09,1401.87,1020.99,1054.8,87.1,107,July 2026,FlashReport_July_2026.pdf,0.0,-27.17,103.31,16.21,35.0,62.0,27.0
1052,"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023",MoRTH,618028,2023-02,2025-06,2027-06,2027-06,333.96,333.96,63.62,36.0,109,July 2026,FlashReport_July_2026.pdf,0.0,0.0,19.05,-16.95,52.0,52.0,0.0
1120,Start of Kollam Bypass - Kadambattukonam,NHAI,619207,2021-06,2022-10,2025-03,2027-06,2641.37,3309.06,1990.71,81.8,113,July 2026,FlashReport_July_2026.pdf,1.0,25.28,60.16,-21.64,45.0,72.0,27.0
1134,Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,618044,2024-02,2026-03,2028-03,,851.4,851.4,0.0,0.0,114,July 2026,FlashReport_July_2026.pdf,0.0,0.0,0.0,0.0,49.0,,
1143,Bypass on Western side of Gwalior City,NHAI,618619,2025-03,2026-01,2028-01,2028-01,998.95,998.95,195.31,0.0,115,July 2026,FlashReport_July_2026.pdf,0.0,0.0,19.55,19.55,34.0,34.0,0.0
1235,Four laning from Dive Ghat Km. 220.900 to Hadapsar Km. 234.150 of Mohol Alandi section Pkg VI of NH-965,NHAI,618626,2023-12,2024-10,2026-10,2027-04,819.52,400.0,141.4,70.01,120,July 2026,FlashReport_July_2026.pdf,0.0,-51.19,35.35,-34.66,34.0,40.0,6.0
1242,4L of Ratnagiri - Kolhapur section from km 67.140 to km 112.340 of NH-166 Pkg II,NHAI,618836,2022-02,2023-05,2025-05,2027-01,1985.38,1798.0,1239.53,81.57,120,July 2026,FlashReport_July_2026.pdf,0.0,-9.44,68.94,-12.63,39.0,59.0,20.0
1247,"Construction of six lane Flyover at Katraj junction at Km, 3/880 of NH 548-DD Vadgaon - Katraj - Kondhwa - Mantarwadi Chowk - Loni Kalbhor - Theur Phata - Lonikand Road in Pune Dist of the State of Maharashtra. On Engineering Procurement and construction EPC Basis mode L.1.326 Km,",MoRTH,619042,2021-02,2022-03,2026-02,2023-02,163.51,163.51,80.23,83.19,121,July 2026,FlashReport_July_2026.pdf,0.0,0.0,49.07,-34.12,60.0,24.0,-36.0
1272,Widening to 2 -Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 66.110 km to 101.280 Km Existing Chainage km 67.496 to km 103.557 on EPC Mode in Manipur PKG-4,NHIDCL,618336,2021-09,2022-06,2023-12,2026-12,579.63,579.63,408.21,86.05,122,July 2026,FlashReport_July_2026.pdf,0.0,0.0,70.43,-15.62,27.0,63.0,36.0
1297,Improvement/Widening to 2-L with Paved Shoulder/4-L from Km 81740 to Km 93490 design Km 0000 to Km 10670 of NH-40 New NH-106 & 206 section & 4-L from design Km 0.00 to Km 0.930 of NH-44 section between Shillong-Dawki under JICA ODA Loan assistance Phase-II -Balance Work Pkg-1,NHIDCL,618377,2020-07,2023-10,2025-10,2026-06,351.12,351.12,243.15,100.0,124,July 2026,FlashReport_July_2026.pdf,0.0,0.0,69.25,-30.75,63.0,71.0,8.0
1336,4L of Munger Mirzachauki section from Km 157350 to Km 193931 Pkg-4,NHAI,619307,2021-02,2022-08,2024-08,2026-08,1376.56,1481.58,893.34,92.74,126,July 2026,FlashReport_July_2026.pdf,1.0,7.63,60.3,-32.44,42.0,66.0,24.0
1339,Construction of additional 3-Lane Bridge over River Ganga for connection between Buxar and Bharauli on NH-922 in the State of Uttar Pradesh and Bihar on Hybrid Annuity Mode,NHAI,618882,2024-03,2025-08,2028-02,2028-02,531.61,444.92,47.11,22.26,126,July 2026,FlashReport_July_2026.pdf,0.0,-16.31,10.59,-11.67,47.0,47.0,0.0
1710,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,2018-05,2021-09,2023-03,2026-11,1577.57,604.6,492.2,89.98,149,July 2026,FlashReport_July_2026.pdf,0.0,-61.68,81.41,-8.57,58.0,102.0,44.0
1711,"Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra & Odisha",Department of Telecommunications [DoT],701602,2021-11,2022-05,2023-11,2027-01,3685.0,1448.61,1108.02,81.47,149,July 2026,FlashReport_July_2026.pdf,0.0,-60.69,76.49,-4.98,24.0,62.0,38.0
1713,"502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha and Uttar Pradesh",Department of Telecommunications [DoT],704495,2019-12,2021-03,2022-03,2026-06,421.65,228.94,152.96,99.59,149,July 2026,FlashReport_July_2026.pdf,0.0,-45.7,66.81,-32.78,27.0,78.0,51.0
1750,Kelo Irrigation Project,Water Resources-CT,400111,2008-04,2008-04,2019-12,2026-06,459.97,727.04,620.15,73.0,151,July 2026,FlashReport_July_2026.pdf,1.0,58.06,85.3,12.3,140.0,218.0,78.0
