sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
232,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],400005,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",2022-01,2022-07,2023-06,2026-05,4546.26,4546.26,4528.07,99.9,66,April 2026,FlashReport_April2026.pdf,2026-04
711,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,400006,Odisha,2021-10,2021-10,2025-10,2026-12,808.99,808.99,701.15,38.0,89,April 2026,FlashReport_April2026.pdf,2026-04
713,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,400006,Odisha,2021-10,2021-10,2025-10,2026-12,808.99,808.99,743.46,40.0,88,May 2026,FlashReport_May2026.pdf,2026-05
699,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,400006,Odisha,2021-10,2021-10,2025-10,2026-12,808.99,808.99,743.46,40.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
662,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,400006,Odisha,2021-10,2021-10,2025-10,2026-12,808.99,808.99,743.46,44.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
15,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,2018-07,2018-09,2021-09,2026-07,480.0,640.0,501.81,78.9,55,April 2026,FlashReport_April2026.pdf,2026-04
15,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,2018-07,2018-09,2021-09,2026-07,480.0,640.0,506.13,79.2,54,May 2026,FlashReport_May2026.pdf,2026-05
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,2018-07,2018-09,2021-09,2026-07,480.0,640.0,509.41,83.4,59,June 2026,FlashReport_June_2026.pdf,2026-06
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,2018-07,2018-09,2021-09,2026-07,480.0,640.0,512.55,88.0,55,July 2026,FlashReport_July_2026.pdf,2026-07
354,Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,400012,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",2018-12,2018-12,2021-12,2026-06,10088.0,10088.0,8529.58,95.2,72,April 2026,FlashReport_April2026.pdf,2026-04
345,Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,400012,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",2018-12,2018-12,2021-12,2026-06,10088.0,10088.0,8585.71,95.4,71,May 2026,FlashReport_May2026.pdf,2026-05
341,Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,400012,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",2018-12,2018-12,2021-12,2026-06,10088.0,10088.0,8672.35,95.7,75,June 2026,FlashReport_June_2026.pdf,2026-06
341,Kandla Gorakhpur LPG Pipeline,Indian Oil Corporation Limited [IOCL],400012,Uttar Pradesh,2018-12,2018-12,2021-12,2026-10,10088.0,10088.0,8504.21,96.0,71,July 2026,FlashReport_July_2026.pdf,2026-07
1929,Saturation 4G mobile coverage of Uncovered Villages through USOF,Department of Telecommunications [DoT],400013,PAN India,2022-07,2022-07,2024-06,2026-03,26316.0,30620.0,9791.8,84.0,160,April 2026,FlashReport_April2026.pdf,2026-04
1943,Saturation 4G mobile coverage of Uncovered Villages through USOF,Department of Telecommunications [DoT],400013,PAN India,2022-07,2022-07,2024-06,2027-03,26316.0,15392.8,9791.8,85.0,160,May 2026,FlashReport_May2026.pdf,2026-05
1801,Saturation 4G mobile coverage of Uncovered Villages through USOF,Department of Telecommunications [DoT],400013,PAN India,2022-07,2022-07,2024-06,2027-03,26316.0,15392.8,8553.1,85.0,157,June 2026,FlashReport_June_2026.pdf,2026-06
1721,Saturation 4G mobile coverage of Uncovered Villages through USOF,Department of Telecommunications [DoT],400013,PAN India,2022-07,2022-07,2024-06,2027-03,26316.0,15392.84,8722.82,87.7,150,July 2026,FlashReport_July_2026.pdf,2026-07
43,HURA C OCP,ECL - CIL,400018,Jharkhand,2022-08,2022-08,2029-03,,859.41,859.41,455.25,63.22,57,April 2026,FlashReport_April2026.pdf,2026-04
43,HURA C OCP,ECL - CIL,400018,Jharkhand,2022-08,2022-08,2029-03,,859.41,859.41,455.25,63.22,56,May 2026,FlashReport_May2026.pdf,2026-05
42,HURA C OCP,ECL - CIL,400018,Jharkhand,2022-08,2022-08,2029-03,,859.41,859.41,455.95,63.3,61,June 2026,FlashReport_June_2026.pdf,2026-06
42,HURA C OCP,Eastern Coal Fields Limited [ECL],400018,Jharkhand,2022-08,2022-08,2029-03,,859.41,859.41,455.95,63.3,57,July 2026,FlashReport_July_2026.pdf,2026-07
622,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,400019,Maharashtra,2019-01,2023-04,2026-12,2027-09,492.76,1170.83,519.29,25.0,85,April 2026,FlashReport_April2026.pdf,2026-04
624,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,400019,Maharashtra,2019-01,2023-04,2026-12,2027-09,492.76,1170.83,542.26,25.0,84,May 2026,FlashReport_May2026.pdf,2026-05
611,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,400019,Maharashtra,2019-01,2023-04,2026-12,2027-09,492.76,1170.83,560.32,38.0,88,June 2026,FlashReport_June_2026.pdf,2026-06
685,Taranga Hill-Abu Road via Ambaji,North Western Railway [NWR],400022,"Multi-States (Gujarat, Rajasthan)",2022-07,2022-07,2030-07,2030-07,2798.0,2798.0,2439.32,37.0,88,April 2026,FlashReport_April2026.pdf,2026-04
687,Taranga Hill-Abu Road via Ambaji,North Western Railway [NWR],400022,"Multi-States (Gujarat, Rajasthan)",2022-07,2022-07,2030-07,2030-07,2798.0,2798.0,2569.32,37.0,87,May 2026,FlashReport_May2026.pdf,2026-05
674,Taranga Hill-Abu Road via Ambaji,North Western Railway [NWR],400022,"Multi-States (Gujarat, Rajasthan)",2022-07,2022-07,2030-07,2030-07,2798.0,2798.0,2616.51,45.0,91,June 2026,FlashReport_June_2026.pdf,2026-06
639,Taranga Hill-Abu Road via Ambaji 116.65 km,CAOC/NWR NWR mor,400022,"Multi-States (Gujarat, Rajasthan)",2022-07,2023-05,2030-07,2030-07,2798.0,3198.16,1953.58,48.0,86,July 2026,FlashReport_July_2026.pdf,2026-07
600,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,400023,Karnataka,2019-03,2025-12,2028-04,2027-04,749.0,749.0,0.94,0.3,84,April 2026,FlashReport_April2026.pdf,2026-04
602,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,400023,Karnataka,2019-03,2025-12,2028-04,2030-03,749.0,749.0,0.94,0.0,83,May 2026,FlashReport_May2026.pdf,2026-05
589,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,400023,Karnataka,2019-03,2025-12,2028-04,2030-03,749.0,749.0,3.43,0.5,87,June 2026,FlashReport_June_2026.pdf,2026-06
576,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,400023,Karnataka,2019-03,2025-12,2028-04,2030-03,749.0,749.0,3.43,0.5,83,July 2026,FlashReport_July_2026.pdf,2026-07
84,BHATADI EXPANSION OC,Western Coalfields Limited [WCL],400033,Maharashtra,2020-02,2022-05,2028-03,,580.61,580.61,112.17,33.91,58,April 2026,FlashReport_April2026.pdf,2026-04
83,BHATADI EXPANSION OC,Western Coalfields Limited [WCL],400033,Maharashtra,2020-02,2022-05,2028-03,,580.61,580.61,112.17,33.91,57,May 2026,FlashReport_May2026.pdf,2026-05
82,BHATADI EXPANSION OC,WCL - CIL,400033,Maharashtra,2020-02,2022-05,2028-03,,580.61,580.61,112.17,33.91,62,June 2026,FlashReport_June_2026.pdf,2026-06
82,BHATADI EXPANSION OC,WCL - CIL,400033,Maharashtra,2020-02,2022-05,2028-03,,580.61,580.61,112.17,34.25,58,July 2026,FlashReport_July_2026.pdf,2026-07
359,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Indian Oil Corporation Limited [IOCL],400035,Tripura,2022-06,2022-06,2025-09,2026-06,656.0,656.0,537.17,97.0,72,April 2026,FlashReport_April2026.pdf,2026-04
350,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Indian Oil Corporation Limited [IOCL],400035,Tripura,2022-06,2022-06,2025-09,2026-06,656.0,656.0,541.81,97.7,71,May 2026,FlashReport_May2026.pdf,2026-05
358,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Ministry of Petroleum & Natural Gas,400043,Tamil Nadu,2022-01,2022-01,2026-05,2026-05,829.0,829.0,350.21,76.2,72,April 2026,FlashReport_April2026.pdf,2026-04
349,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Ministry of Petroleum & Natural Gas,400043,Tamil Nadu,2022-01,2022-01,2026-05,2027-03,829.0,829.0,378.18,78.0,71,May 2026,FlashReport_May2026.pdf,2026-05
344,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Ministry of Petroleum & Natural Gas,400043,Tamil Nadu,2022-01,2022-01,2026-05,2027-03,829.0,829.0,382.96,79.6,76,June 2026,FlashReport_June_2026.pdf,2026-06
339,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],MinistryofPetroleumNaturalGas,400043,Tamil Nadu,2022-01,2022-01,2026-05,2027-03,829.0,829.0,382.47,81.0,71,July 2026,FlashReport_July_2026.pdf,2026-07
712,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,Odisha,2022-08,2022-07,2025-03,2025-01,168.32,168.32,69.85,82.0,89,April 2026,FlashReport_April2026.pdf,2026-04
714,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,Odisha,2022-08,2022-07,2025-03,2025-01,168.32,168.32,69.85,82.0,88,May 2026,FlashReport_May2026.pdf,2026-05
700,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,Odisha,2022-08,2022-07,2025-03,2025-01,168.32,168.32,69.85,82.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
663,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,Odisha,2022-08,2022-07,2025-03,2025-01,168.32,168.32,69.85,82.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
713,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,400047,Odisha,2022-08,2022-06,2024-12,2026-12,210.0,210.0,39.31,52.0,89,April 2026,FlashReport_April2026.pdf,2026-04
715,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,400047,Odisha,2022-08,2022-06,2024-12,2026-12,210.0,210.0,40.56,52.0,88,May 2026,FlashReport_May2026.pdf,2026-05
701,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,400047,Odisha,2022-08,2022-06,2024-12,2026-12,210.0,210.0,41.17,53.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
664,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,400047,Odisha,2022-08,2022-06,2024-12,2026-12,210.0,210.0,41.17,53.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
714,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,400048,Odisha,2022-09,2022-06,2024-12,2027-06,186.21,186.21,100.97,88.0,89,April 2026,FlashReport_April2026.pdf,2026-04
716,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,400048,Odisha,2022-09,2022-06,2024-12,2027-06,186.21,186.21,103.1,88.0,88,May 2026,FlashReport_May2026.pdf,2026-05
702,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,400048,Odisha,2022-09,2022-06,2024-12,2027-06,186.21,186.21,105.07,88.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
665,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,400048,Odisha,2022-09,2022-06,2024-12,2027-06,186.21,186.21,105.07,88.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
185,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,2023-01,2025-02,2029-06,,17673.0,17673.0,1950.25,9.4,63,April 2026,FlashReport_April2026.pdf,2026-04
179,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,2023-01,2025-02,2029-06,,17673.0,17673.0,2043.87,10.0,62,May 2026,FlashReport_May2026.pdf,2026-05
178,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,2023-01,2025-02,2029-06,,17673.0,17673.0,2120.39,11.5,67,June 2026,FlashReport_June_2026.pdf,2026-06
179,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,2023-01,2025-02,2029-08,,17673.0,17673.0,2268.62,13.0,63,July 2026,FlashReport_July_2026.pdf,2026-07
44,KONAR EXPANSION OCP,Ministry of Coal,400073,Jharkhand,2022-01,2022-01,2032-03,,799.34,799.34,433.64,53.47,57,April 2026,FlashReport_April2026.pdf,2026-04
44,KONAR EXPANSION OCP,Ministry of Coal,400073,Jharkhand,2022-01,2022-01,2032-03,,674.65,674.65,433.64,46.25,56,May 2026,FlashReport_May2026.pdf,2026-05
43,KONAR EXPANSION OCP,CCL - CIL,400073,Jharkhand,2022-01,2022-01,2032-03,,674.65,674.65,172.3,50.78,61,June 2026,FlashReport_June_2026.pdf,2026-06
43,KONAR EXPANSION OCP,CCL - CIL,400073,Jharkhand,2022-01,2022-01,2032-03,,674.65,674.65,175.59,50.78,57,July 2026,FlashReport_July_2026.pdf,2026-07
45,KARO EXPANSION OCP,Ministry of Coal,400074,Jharkhand,2022-01,2022-01,2029-03,,908.47,908.47,289.45,23.57,57,April 2026,FlashReport_April2026.pdf,2026-04
45,KARO EXPANSION OCP,Ministry of Coal,400074,Jharkhand,2022-01,2022-01,2029-03,,849.31,849.31,289.45,22.38,56,May 2026,FlashReport_May2026.pdf,2026-05
44,KARO EXPANSION OCP,CCL - CIL,400074,Jharkhand,2022-01,2022-01,2029-03,,849.31,849.31,208.28,23.28,61,June 2026,FlashReport_June_2026.pdf,2026-06
44,KARO EXPANSION OCP,CCL - CIL,400074,Jharkhand,2022-01,2022-01,2029-03,,849.31,849.31,237.61,23.28,57,July 2026,FlashReport_July_2026.pdf,2026-07
353,New Mundra Panipat Crude Oil Pipeline,Ministry of Petroleum & Natural Gas,400078,"Multi-States (Gujarat, Haryana, Rajasthan)",2021-12,2021-12,2024-12,2026-06,9028.0,9028.0,7160.82,91.4,72,April 2026,FlashReport_April2026.pdf,2026-04
344,New Mundra Panipat Crude Oil Pipeline,Ministry of Petroleum & Natural Gas,400078,"Multi-States (Gujarat, Haryana, Rajasthan)",2021-12,2021-12,2024-12,2026-06,9028.0,9028.0,7456.3,92.7,71,May 2026,FlashReport_May2026.pdf,2026-05
340,New Mundra Panipat Crude Oil Pipeline,Ministry of Petroleum & Natural Gas,400078,"Multi-States (Gujarat, Haryana, Rajasthan)",2021-12,2021-12,2024-12,2026-06,9028.0,9028.0,7482.71,94.1,75,June 2026,FlashReport_June_2026.pdf,2026-06
344,"National Sports University [NSU], Imphal [Manipur]",Department of Sports & Youth Affairs,400081,Manipur,,2022-01,2024-08,2026-08,906.47,611.74,574.12,97.0,71,April 2026,FlashReport_April2026.pdf,2026-04
335,"National Sports University [NSU], Imphal [Manipur]",Department of Sports & Youth Affairs,400081,Manipur,,2022-01,2024-08,2026-08,906.47,611.74,575.68,97.05,70,May 2026,FlashReport_May2026.pdf,2026-05
331,"National Sports University [NSU], Imphal [Manipur]",Department of Sports & Youth Affairs,400081,Manipur,2022-06,2022-01,2024-08,2026-08,906.47,611.74,576.37,97.25,75,June 2026,FlashReport_June_2026.pdf,2026-06
331,"National Sports University [NSU], Imphal [Manipur]",Department of Sports & Youth Affairs,400081,Manipur,2022-06,2022-01,2024-08,2026-08,906.47,611.74,577.32,97.5,71,July 2026,FlashReport_July_2026.pdf,2026-07
382,Redevelopment of Sobhasan Complex,Oil and Natural Gas Corporation Limited [ONGC],400087,Gujarat,2021-08,2021-08,2027-03,2027-03,885.63,1347.61,990.06,87.5,73,April 2026,FlashReport_April2026.pdf,2026-04
372,Redevelopment of Sobhasan Complex,Oil and Natural Gas Corporation Limited [ONGC],400087,Gujarat,2021-08,2021-08,2027-03,2027-03,885.63,1347.61,1022.45,89.2,72,May 2026,FlashReport_May2026.pdf,2026-05
366,Redevelopment of Sobhasan Complex,Oil and Natural Gas Corporation Limited [ONGC],400087,Gujarat,2021-08,2021-08,2027-03,2027-03,885.63,1347.61,1037.37,94.3,77,June 2026,FlashReport_June_2026.pdf,2026-06
365,Redevelopment of Sobhasan Complex,Oil and Natural Gas Corporation Limited [ONGC],400087,Gujarat,2021-08,2021-08,2027-03,,885.63,1347.61,1062.32,95.6,73,July 2026,FlashReport_July_2026.pdf,2026-07
1978,Saryu Nahar CADWM Project,Irrigation & Water Resources-UP,400093,Uttar Pradesh,2017-04,2017-04,2019-12,2026-03,1672.7,1672.7,22.24,1.76,162,April 2026,FlashReport_April2026.pdf,2026-04
1955,Gosikhurd CADWM Project,Department of water resources-MH - II,400095,Maharashtra,2017-04,2017-04,2019-12,2026-06,743.73,743.73,459.06,53.93,161,April 2026,FlashReport_April2026.pdf,2026-04
1952,Omkareshwar CADWM Project,Water resource-mp,400096,Madhya Pradesh,2017-04,2017-04,2019-12,2027-06,648.09,648.09,208.06,49.78,161,April 2026,FlashReport_April2026.pdf,2026-04
1948,Sardar Sarovar CADWM Project,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",400097,Gujarat,2017-04,2017-04,2019-12,2026-03,5021.76,6670.31,4956.98,90.3,161,April 2026,FlashReport_April2026.pdf,2026-04
1942,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,2005-04,2006-01,2019-12,2026-06,353.05,1023.24,872.65,95.88,160,April 2026,FlashReport_April2026.pdf,2026-04
1956,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,2005-04,2006-01,2019-12,2026-06,353.05,1023.24,872.65,95.88,160,May 2026,FlashReport_May2026.pdf,2026-05
1816,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,2005-04,2006-01,2019-12,2026-06,353.05,1023.24,879.15,95.88,158,June 2026,FlashReport_June_2026.pdf,2026-06
1746,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,2005-04,2006-01,2019-12,2026-06,353.05,1023.24,879.15,95.88,151,July 2026,FlashReport_July_2026.pdf,2026-07
1943,Gundlakamma project,Water Resources-AP,400101,Andhra Pradesh,2005-04,2005-04,2019-12,2027-03,397.41,697.39,619.46,98.3,160,April 2026,FlashReport_April2026.pdf,2026-04
1957,Gundlakamma project,Water Resources-AP,400101,Andhra Pradesh,2005-04,2005-04,2019-12,2027-03,397.41,697.39,624.78,98.3,160,May 2026,FlashReport_May2026.pdf,2026-05
1817,Gundlakamma project,Water Resources-AP,400101,Andhra Pradesh,2005-04,2005-04,2019-12,2027-03,397.41,697.39,624.78,98.3,158,June 2026,FlashReport_June_2026.pdf,2026-06
1747,Gundlakamma project,Water Resources-AP,400101,Andhra Pradesh,2005-04,2005-04,2019-12,2027-03,397.41,697.39,624.78,98.3,151,July 2026,FlashReport_July_2026.pdf,2026-07
1974,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,Telangana,1996-04,2005-04,2019-12,2025-12,736.13,949.87,971.47,97.0,162,April 2026,FlashReport_April2026.pdf,2026-04
1981,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,Telangana,1996-04,2005-04,2019-12,2025-12,736.13,949.87,971.47,97.0,162,May 2026,FlashReport_May2026.pdf,2026-05
1841,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,Telangana,1996-04,2005-04,2019-12,2025-12,736.13,949.87,971.47,97.0,159,June 2026,FlashReport_June_2026.pdf,2026-06
1771,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,Telangana,1996-04,2005-04,2019-12,2025-12,736.13,949.87,971.47,97.0,152,July 2026,FlashReport_July_2026.pdf,2026-07
1975,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,Telangana,1996-04,2006-01,2019-12,2026-12,1331.3,5940.09,4491.08,92.0,162,April 2026,FlashReport_April2026.pdf,2026-04
1982,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,Telangana,1996-04,2006-01,2019-12,2026-12,1331.3,5940.09,4491.08,92.0,162,May 2026,FlashReport_May2026.pdf,2026-05
1842,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,Telangana,1996-04,2006-01,2019-12,2026-12,1331.3,5940.09,4491.08,92.0,159,June 2026,FlashReport_June_2026.pdf,2026-06
1772,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,Telangana,1996-04,2006-01,2019-12,2026-12,1331.3,5940.09,4491.08,92.0,152,July 2026,FlashReport_July_2026.pdf,2026-07
1956,Urmodi Irrigation Project,Department of water resources-MH - II,400105,Maharashtra,2017-04,2018-04,2022-06,2026-12,580.79,895.81,713.46,76.22,161,April 2026,FlashReport_April2026.pdf,2026-04
1957,Sulwade-Jamphal-Kanoli Lift Irrigation Scheme,Department of water resources-MH - II,400107,Maharashtra,2017-04,2019-02,2023-06,2027-06,2407.67,2407.67,2779.38,80.54,161,April 2026,FlashReport_April2026.pdf,2026-04
1958,Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project,Department of water resources-MH - II,400109,Maharashtra,2017-04,2018-04,2020-06,2026-06,848.07,888.43,690.49,69.63,161,April 2026,FlashReport_April2026.pdf,2026-04
1946,Kelo Irrigation Project,Water Resources-CT,400111,Chhattisgarh,2008-04,2008-04,2019-12,2026-06,459.97,727.04,618.85,72.0,160,April 2026,FlashReport_April2026.pdf,2026-04
1960,Kelo Irrigation Project,Water Resources-CT,400111,Chhattisgarh,2008-04,2008-04,2019-12,2026-06,459.97,727.04,618.85,72.0,161,May 2026,FlashReport_May2026.pdf,2026-05
1820,Kelo Irrigation Project,Water Resources-CT,400111,Chhattisgarh,2008-04,2008-04,2019-12,2026-06,459.97,727.04,620.15,73.0,158,June 2026,FlashReport_June_2026.pdf,2026-06
1750,Kelo Irrigation Project,Water Resources-CT,400111,Chhattisgarh,2008-04,2008-04,2019-12,2026-06,459.97,727.04,620.15,73.0,151,July 2026,FlashReport_July_2026.pdf,2026-07
1959,Jigaon Irrigation Project,Department of water resources-MH - II,400112,Maharashtra,2017-04,2018-04,2028-06,,7222.95,7222.95,10516.63,92.0,161,April 2026,FlashReport_April2026.pdf,2026-04
1953,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,400115,Madhya Pradesh,2008-04,2009-01,2019-12,2026-03,751.03,893.35,814.02,75.0,161,April 2026,FlashReport_April2026.pdf,2026-04
1965,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,400115,Madhya Pradesh,2008-04,2009-01,2019-12,2026-03,751.03,893.35,814.02,75.0,161,May 2026,FlashReport_May2026.pdf,2026-05
1825,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,400115,Madhya Pradesh,2008-04,2009-01,2019-12,2026-03,751.03,893.35,814.02,75.0,158,June 2026,FlashReport_June_2026.pdf,2026-06
