project_code,risk_score,overall_risk,cost_risk_level,time_risk_level,num_warnings,explanation
613793,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 105.6% of original time elapsed, but only 16.8% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617299,3,HIGH,LOW,MEDIUM,1,"Overall Risk: HIGH

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 86.8% but physical progress is only 52.0% (Gap: 34.8%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
618991,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 145.4% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
618992,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 150.0% of original time elapsed, but only 1.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400231,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 154.1% of original time elapsed, but only 4.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400203,1,LOW,MEDIUM,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.7% of original time elapsed, but only 43.7% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400192,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 104.4% of original time elapsed, but only 37.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
603293,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.2% probability).

Early Warning:
Project requires closer monitoring."
602579,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (98.0% probability).

Early Warning:
Project requires closer monitoring."
709747,3,HIGH,LOW,MEDIUM,1,"Overall Risk: HIGH

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 109.0% but physical progress is only 51.9% (Gap: 57.2%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
602582,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (91.2% probability).

Early Warning:
Project requires closer monitoring."
602593,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (75.8% probability).

Early Warning:
Project requires closer monitoring."
602525,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (96.6% probability).

Early Warning:
Project requires closer monitoring."
602532,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (96.5% probability).

Early Warning:
Project requires closer monitoring."
602535,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 132.4% of original time elapsed, but only 31.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
605155,2,MEDIUM,LOW,HIGH,2,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (72.3% probability).
* Low progress near planned completion. 104.2% of original time elapsed, but only 36.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400261,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (96.2% probability).

Early Warning:
Project requires closer monitoring."
602096,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (98.8% probability).

Early Warning:
Project requires closer monitoring."
602961,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (80.8% probability).

Early Warning:
Project requires closer monitoring."
602181,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.9% probability).

Early Warning:
Project requires closer monitoring."
605156,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (95.9% probability).

Early Warning:
Project requires closer monitoring."
602185,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.0% probability).

Early Warning:
Project requires closer monitoring."
602195,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.6% probability).

Early Warning:
Project requires closer monitoring."
602184,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.1% probability).

Early Warning:
Project requires closer monitoring."
602538,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.7% probability).

Early Warning:
Project requires closer monitoring."
615336,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 199.4% of original time elapsed, but only 45.9% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612139,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.6% probability).

Early Warning:
Project requires closer monitoring."
612855,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.1% probability).

Early Warning:
Project requires closer monitoring."
615342,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 100.0% of original time elapsed, but only 33.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615343,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.2% of original time elapsed, but only 8.7% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615345,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 87.4% of original time elapsed, but only 38.3% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617391,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 80.7% of original time elapsed, but only 7.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617405,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 87.4% of original time elapsed, but only 24.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
619029,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 122.3% of original time elapsed, but only 35.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
619049,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.8% probability).

Early Warning:
Project requires closer monitoring."
617179,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 100.0% of original time elapsed, but only 1.7% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617326,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.2% probability).

Early Warning:
Project requires closer monitoring."
612140,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (95.1% probability).

Early Warning:
Project requires closer monitoring."
615344,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 87.4% of original time elapsed, but only 47.9% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
602223,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.9% probability).

Early Warning:
Project requires closer monitoring."
607709,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (94.1% probability).

Early Warning:
Project requires closer monitoring."
617271,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 122.3% of original time elapsed, but only 29.8% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617270,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 111.2% of original time elapsed, but only 1.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612132,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.4% probability).

Early Warning:
Project requires closer monitoring."
611735,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (80.3% probability).

Early Warning:
Project requires closer monitoring."
615339,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.2% of original time elapsed, but only 33.3% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615340,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.2% of original time elapsed, but only 36.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612138,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.8% probability).

Early Warning:
Project requires closer monitoring."
615333,2,MEDIUM,LOW,HIGH,2,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (71.7% probability).
* Low progress near planned completion. 95.8% of original time elapsed, but only 49.3% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615334,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 95.8% of original time elapsed, but only 46.9% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612133,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.9% probability).

Early Warning:
Project requires closer monitoring."
611949,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.8% probability).

Early Warning:
Project requires closer monitoring."
612134,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.7% probability).

Early Warning:
Project requires closer monitoring."
615337,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.2% probability).

Early Warning:
Project requires closer monitoring."
615338,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.2% of original time elapsed, but only 47.3% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617269,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 105.5% of original time elapsed, but only 12.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617412,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 82.4% of original time elapsed, but only 26.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
707229,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (95.6% probability).

Early Warning:
Project requires closer monitoring."
400188,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 131.8% of original time elapsed, but only 46.7% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701719,3,HIGH,LOW,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (89.6% probability).

Early Warning:
Project requires closer monitoring."
701766,1,LOW,MEDIUM,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 156.7% of original time elapsed, but only 40.3% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
702632,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.2% probability).

Early Warning:
Project requires closer monitoring."
702630,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (83.4% probability).

Early Warning:
Project requires closer monitoring."
619022,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 103.0% of original time elapsed, but only 10.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
702635,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (95.6% probability).

Early Warning:
Project requires closer monitoring."
702664,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 91.6% of original time elapsed, but only 41.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617225,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 84.5% of original time elapsed, but only 49.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701745,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 247.4% of original time elapsed, but only 48.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701991,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (75.2% probability).

Early Warning:
Project requires closer monitoring."
702637,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (97.4% probability).

Early Warning:
Project requires closer monitoring."
702628,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.4% probability).

Early Warning:
Project requires closer monitoring."
702629,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.7% probability).

Early Warning:
Project requires closer monitoring."
702674,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.8% probability).

Early Warning:
Project requires closer monitoring."
702699,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (94.9% probability).

Early Warning:
Project requires closer monitoring."
702734,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (94.4% probability).

Early Warning:
Project requires closer monitoring."
702741,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (81.3% probability).

Early Warning:
Project requires closer monitoring."
702742,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (75.0% probability).

Early Warning:
Project requires closer monitoring."
702746,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.2% probability).

Early Warning:
Project requires closer monitoring."
702760,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.4% probability).

Early Warning:
Project requires closer monitoring."
702793,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (90.0% probability).

Early Warning:
Project requires closer monitoring."
702808,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.8% probability).

Early Warning:
Project requires closer monitoring."
702810,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (86.1% probability).

Early Warning:
Project requires closer monitoring."
702833,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.9% probability).

Early Warning:
Project requires closer monitoring."
703021,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (94.1% probability).

Early Warning:
Project requires closer monitoring."
